case,col_rem,feat_eng,outliers,normalization,pca,n_estimators,max_depth,random_state,algorithm,mae_cv_fold_0,mae_cv_fold_1,mae_cv_avg,mse_cv_fold_0,mse_cv_fold_1,mse_cv_avg,r2_cv_fold_0,r2_cv_fold_1,r2_cv_avg,mae_best_model_test_mae,mae_best_model_test_mse,mae_best_model_test_r2,mse_best_model_test_mae,mse_best_model_test_mse,mse_best_model_test_r2,r2_best_model_test_mae,r2_best_model_test_mse,r2_best_model_test_r2,importance,mae_cv_fold_2,mse_cv_fold_2,r2_cv_fold_2,mae_cv_fold_3,mae_cv_fold_4,mse_cv_fold_3,mse_cv_fold_4,r2_cv_fold_3,r2_cv_fold_4
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=randomforestregressor|CV=2|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,0,100,6,42,RandomForestRegressor,60261.57371058797,81354.09819896886,70807.83595477842,12407109790.558376,45885808722.39942,29146459256.478897,0.6543649853017767,0.4738734223784835,0.5641192038401301,79195.02217968786,29747203588.162083,0.5508543489743034,79195.02217968786,29747203588.162083,0.5508543489743034,79195.02217968786,29747203588.162083,0.5508543489743034,"_ano                    1.491206e-02
_mes                    2.944578e-02
car_c02_emitido         1.095314e-01
cli_pressao_atm_med     6.550889e-02
cli_temp_ar_med         3.182006e-02
cli_temp_orvalho_med    7.397639e-02
cli_umid_rel_med        6.437282e-02
cli_umid_rel_min_max    1.809710e-02
cli_umid_rel_min_med    1.051171e-01
cli_umid_rel_min_min    8.293739e-02
cli_veloc_vento_max     4.534636e-02
cli_veloc_vento_med     5.687634e-02
que_focos_qtd           2.406125e-01
_estado_AC              8.021047e-04
_estado_AM              8.915861e-07
_estado_AP              1.779721e-04
_estado_PA              2.045653e-02
_estado_RO              4.685079e-04
_estado_RR              4.281534e-04
_estado_TO              3.911162e-02
dtype: float64",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=randomforestregressor|CV=3|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,0,100,6,42,RandomForestRegressor,64531.75647507918,68731.15390952537,73587.1675313152,14940333360.413055,24305398498.02348,30435200649.75876,0.6448805592873952,0.5522401385030942,0.5364262330615839,76071.51177429476,27786524436.4618,0.5804581573266752,76071.51177429476,27786524436.4618,0.5804581573266752,76071.51177429476,27786524436.4618,0.5804581573266752,"_ano                    0.017803
_mes                    0.038816
car_c02_emitido         0.137806
cli_pressao_atm_med     0.044267
cli_temp_ar_med         0.032015
cli_temp_orvalho_med    0.024127
cli_umid_rel_med        0.070620
cli_umid_rel_min_max    0.019559
cli_umid_rel_min_med    0.117359
cli_umid_rel_min_min    0.120388
cli_veloc_vento_max     0.033173
cli_veloc_vento_med     0.040094
que_focos_qtd           0.208742
_estado_AC              0.000155
_estado_AM              0.000152
_estado_AP              0.000030
_estado_PA              0.037196
_estado_RO              0.000120
_estado_RR              0.000233
_estado_TO              0.057344
dtype: float64",87498.59220934105,52059870090.83973,0.4121580013942624,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=randomforestregressor|CV=5|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,0,100,6,42,RandomForestRegressor,56522.385379584826,55416.461723438246,68387.20231442944,11829754786.131111,13647052433.703112,28416599046.875614,0.730534553728507,0.5904001674543532,0.5782545990648896,76932.42423896107,29372984548.06573,0.5565045894714362,70557.79374312186,21492882623.60374,0.675484294522428,70557.79374312186,21492882623.60374,0.675484294522428,"_ano                    0.009104
_mes                    0.049255
car_c02_emitido         0.144679
cli_pressao_atm_med     0.049390
cli_temp_ar_med         0.024889
cli_temp_orvalho_med    0.055176
cli_umid_rel_med        0.053807
cli_umid_rel_min_max    0.014462
cli_umid_rel_min_med    0.080056
cli_umid_rel_min_min    0.122669
cli_veloc_vento_max     0.028831
cli_veloc_vento_med     0.033498
que_focos_qtd           0.247696
_estado_AC              0.000419
_estado_AM              0.000213
_estado_AP              0.000000
_estado_PA              0.034582
_estado_RO              0.000440
_estado_RR              0.000749
_estado_TO              0.050086
dtype: float64",66236.92852323328,18365642810.919373,0.5884842244540627,70640.52547997869,93119.71046591214,31065457727.911427,67175087475.713066,0.5967852190285537,0.3850688306589712
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=randomforestregressor|CV=2|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,5,100,6,42,RandomForestRegressor,70427.6510683254,84235.53817656722,77331.59462244631,17350219367.264343,48711751209.55125,33030985288.407795,0.5166607350742299,0.441471172299046,0.4790659536866379,84630.52237197745,34627976618.334274,0.4771607672012009,84630.52237197745,34627976618.334274,0.4771607672012009,84630.52237197745,34627976618.334274,0.4771607672012009,"pc1    0.192569
pc2    0.425834
pc3    0.225392
pc4    0.093888
pc5    0.062317
dtype: float64",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=randomforestregressor|CV=3|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,5,100,6,42,RandomForestRegressor,71516.4241209553,68432.06323764074,76984.35764632696,17370139764.226013,25788234749.448624,31967713080.466976,0.5871260587453734,0.5249229745975237,0.505491147340058,74066.09593450825,28332724504.431576,0.5722112179331453,82560.20938835351,36976456269.45387,0.4417016552649625,82560.20938835351,36976456269.45387,0.4417016552649625,"pc1    0.235730
pc2    0.384571
pc3    0.229198
pc4    0.092931
pc5    0.057570
dtype: float64",91004.58558038482,52744764727.72629,0.4044244086772766,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=randomforestregressor|CV=5|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,5,100,6,42,RandomForestRegressor,75409.60639550663,59977.88854610057,75517.81903902136,23807618747.1398,12374756922.01943,31831470164.120647,0.4576953853785075,0.6285865839765916,0.5170718741461001,79320.8206851979,33755678155.35836,0.4903313854033753,79320.8206851979,33755678155.35836,0.4903313854033753,79320.8206851979,33755678155.35836,0.4903313854033753,"pc1    0.212913
pc2    0.380891
pc3    0.243489
pc4    0.096827
pc5    0.065881
dtype: float64",67237.56796032879,18612725374.403164,0.5829478882755403,77080.51490013131,97883.51739303942,33597372865.511105,70764876911.52974,0.5639221716983904,0.3522073414014705
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=randomforestregressor|CV=2|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,10,100,6,42,RandomForestRegressor,77462.08250947924,85476.16053400957,81469.12152174441,20158831681.24133,49061050385.0047,34609941033.12302,0.4384189225320555,0.4374661087540368,0.4379425156430461,88410.19447320045,37915706387.74579,0.4275201506201338,88410.19447320045,37915706387.74579,0.4275201506201338,88410.19447320045,37915706387.74579,0.4275201506201338,"pc1     0.106141
pc2     0.329328
pc3     0.140970
pc4     0.045595
pc5     0.035206
pc6     0.031728
pc7     0.038967
pc8     0.054466
pc9     0.071989
pc10    0.145610
dtype: float64",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=randomforestregressor|CV=3|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,10,100,6,42,RandomForestRegressor,68578.9388057582,70041.2025910177,78245.01266828536,17747182856.672714,24533360339.281254,33400023373.99394,0.5781640544256437,0.5480405709676571,0.4907324713148453,84914.49853662634,35067200510.994736,0.4705290345534462,84914.49853662634,35067200510.994736,0.4705290345534462,84914.49853662634,35067200510.994736,0.4705290345534462,"pc1     0.167504
pc2     0.323598
pc3     0.130912
pc4     0.066822
pc5     0.029478
pc6     0.025703
pc7     0.034294
pc8     0.059010
pc9     0.056944
pc10    0.105738
dtype: float64",96114.8966080802,57919526926.02784,0.3459927885512353,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=randomforestregressor|CV=5|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,10,100,6,42,RandomForestRegressor,77524.88765577803,61025.157005992005,75543.90638131255,23929946182.33892,12297102647.90485,31490235242.75999,0.454908935658026,0.6309172834318992,0.5211295393078268,81589.74071349397,33716377503.395164,0.4909247762025954,81589.74071349397,33716377503.395164,0.4909247762025954,81589.74071349397,33716377503.395164,0.4909247762025954,"pc1     0.142188
pc2     0.318965
pc3     0.179362
pc4     0.061584
pc5     0.037432
pc6     0.021358
pc7     0.040125
pc8     0.047111
pc9     0.032658
pc10    0.119218
dtype: float64",68619.63725853627,19094873511.163586,0.5721444785354235,70935.91310391575,99613.93688234076,30694044561.2454,71435209311.1472,0.6016059842642967,0.3460710146494886
FS=na|FE=na|OUT=0|NORM=1|PCA=na|ALGORITHM=randomforestregressor|CV=2|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,True,0,100,6,42,RandomForestRegressor,60160.15300266874,81399.5458227535,70779.84941271112,12389426221.989166,45927003712.83511,29158214967.412136,0.6548576109483223,0.4734010807125842,0.5641293458304533,79008.51490818238,29702698817.484085,0.5515263154716139,79008.51490818238,29702698817.484085,0.5515263154716139,79008.51490818238,29702698817.484085,0.5515263154716139,"_ano                    1.491206e-02
_mes                    2.944578e-02
car_c02_emitido         1.095314e-01
cli_pressao_atm_med     6.550889e-02
cli_temp_ar_med         3.182006e-02
cli_temp_orvalho_med    7.397639e-02
cli_umid_rel_med        6.437282e-02
cli_umid_rel_min_max    1.809710e-02
cli_umid_rel_min_med    1.051171e-01
cli_umid_rel_min_min    8.293739e-02
cli_veloc_vento_max     4.534636e-02
cli_veloc_vento_med     5.687634e-02
que_focos_qtd           2.406125e-01
_estado_AC              8.021047e-04
_estado_AM              8.915861e-07
_estado_AP              1.779721e-04
_estado_PA              2.045653e-02
_estado_RO              4.685079e-04
_estado_RR              4.281534e-04
_estado_TO              3.911162e-02
dtype: float64",,,,,,,,,
