case,col_rem,feat_eng,outliers,normalization,pca,n_estimators,max_depth,random_state,algorithm,mae_cv_fold_0,mae_cv_fold_1,mae_cv_avg,mse_cv_fold_0,mse_cv_fold_1,mse_cv_avg,r2_cv_fold_0,r2_cv_fold_1,r2_cv_avg,mae_best_model_test_mae,mae_best_model_test_mse,mae_best_model_test_r2,mse_best_model_test_mae,mse_best_model_test_mse,mse_best_model_test_r2,r2_best_model_test_mae,r2_best_model_test_mse,r2_best_model_test_r2,importance,mae_cv_fold_2,mse_cv_fold_2,r2_cv_fold_2,mae_cv_fold_3,mae_cv_fold_4,mse_cv_fold_3,mse_cv_fold_4,r2_cv_fold_3,r2_cv_fold_4
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=xgbregressor|CV=2|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,0,100,6,42,XGBRegressor,58384.02294255633,78677.30710855425,68530.6650255553,13768198963.473331,43992972722.30945,28880585842.891388,0.6164480099362446,0.4955766756163413,0.556012342776293,68328.55210546264,20811447178.41252,0.6857731193444085,68328.55210546264,20811447178.41252,0.6857731193444085,68328.55210546264,20811447178.41252,0.6857731193444085,"_ano                    0.006814
_mes                    0.020828
car_c02_emitido         0.056225
cli_pressao_atm_med     0.007995
cli_temp_ar_med         0.001856
cli_temp_orvalho_med    0.004534
cli_umid_rel_med        0.034082
cli_umid_rel_min_max    0.005861
cli_umid_rel_min_med    0.005077
cli_umid_rel_min_min    0.107156
cli_veloc_vento_max     0.006557
cli_veloc_vento_med     0.005731
que_focos_qtd           0.083238
_estado_AC              0.002370
_estado_AM              0.000382
_estado_AP              0.000000
_estado_PA              0.000000
_estado_RO              0.000002
_estado_RR              0.014623
_estado_TO              0.636669
dtype: float32",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=xgbregressor|CV=3|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,0,100,6,42,XGBRegressor,63045.51612406932,67354.78058230787,71587.38493915617,18779465701.304047,27212552480.54016,34440383473.513214,0.5536275399048888,0.4986838528627785,0.4683235711260938,69650.56868739909,26255613708.174007,0.6035729988169414,69650.56868739909,26255613708.174007,0.6035729988169414,69650.56868739909,26255613708.174007,0.6035729988169414,"_ano                    9.986739e-03
_mes                    1.824018e-02
car_c02_emitido         4.536152e-02
cli_pressao_atm_med     5.191693e-03
cli_temp_ar_med         3.352873e-03
cli_temp_orvalho_med    3.526578e-03
cli_umid_rel_med        1.592857e-02
cli_umid_rel_min_max    9.571874e-03
cli_umid_rel_min_med    1.561552e-01
cli_umid_rel_min_min    4.346141e-02
cli_veloc_vento_max     3.899891e-03
cli_veloc_vento_med     2.933863e-03
que_focos_qtd           7.133966e-02
_estado_AC              9.457160e-04
_estado_AM              8.844447e-07
_estado_AP              0.000000e+00
_estado_PA              0.000000e+00
_estado_RO              3.297999e-05
_estado_RR              5.637171e-03
_estado_TO              6.044332e-01
dtype: float32",84361.85811109134,57329132238.69544,0.3526593206106143,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=xgbregressor|CV=5|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,0,100,6,42,XGBRegressor,54496.81007974798,53877.96080409156,63955.54719935197,10861760441.280497,17368384859.021713,27860714937.97473,0.7525841255784033,0.4787088593376759,0.5748685049311781,79639.63230952078,40366618435.27073,0.3905144373291412,63673.53864810062,22171250704.8937,0.6652417830674258,63673.53864810062,22171250704.8937,0.6652417830674258,"_ano                    0.002295
_mes                    0.028608
car_c02_emitido         0.063502
cli_pressao_atm_med     0.005985
cli_temp_ar_med         0.006273
cli_temp_orvalho_med    0.011423
cli_umid_rel_med        0.016724
cli_umid_rel_min_max    0.001138
cli_umid_rel_min_med    0.003182
cli_umid_rel_min_min    0.088584
cli_veloc_vento_max     0.003768
cli_veloc_vento_med     0.005001
que_focos_qtd           0.077200
_estado_AC              0.000388
_estado_AM              0.001300
_estado_AP              0.000000
_estado_PA              0.000000
_estado_RO              0.000265
_estado_RR              0.003864
_estado_TO              0.680500
dtype: float32",56251.28339984467,15292962595.994743,0.6573332375088945,68751.90622129869,86399.77549177692,35942816939.04432,59837649854.53238,0.5334794295803249,0.4522368726505921
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=xgbregressor|CV=2|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,5,100,6,42,XGBRegressor,79511.89229237927,87675.230037793,83593.56116508614,25350862819.658512,52989563534.29135,39170213176.97493,0.2937802605766272,0.3924217859901155,0.3431010232833714,93194.231775142,43628099147.68365,0.3412701487511251,93194.231775142,43628099147.68365,0.3412701487511251,81087.30158408162,42521847358.861626,0.3579731702104779,"pc1    0.178692
pc2    0.285307
pc3    0.315533
pc4    0.176154
pc5    0.044313
dtype: float32",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=xgbregressor|CV=3|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,5,100,6,42,XGBRegressor,83760.63707977824,71619.11258865889,85849.16965099589,27822936518.210167,25167865190.290634,39116141879.60941,0.3386716737185351,0.5363515709197797,0.3827730915203484,80167.49598409666,39425418319.455215,0.4047253845030681,80167.49598409666,39425418319.455215,0.4047253845030681,80167.49598409666,39425418319.455215,0.4047253845030681,"pc1    0.157106
pc2    0.375412
pc3    0.294709
pc4    0.076321
pc5    0.096452
dtype: float32",102167.75928455056,64357623930.32745,0.2732960299227304,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=xgbregressor|CV=5|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,5,100,6,42,XGBRegressor,94162.30908904574,61127.55085266961,79899.3969830189,52112497785.74877,14935599537.08007,39175973630.41901,-0.1870505962323121,0.5517259789924595,0.3592371327428099,78124.16103891823,32404887171.11936,0.5107266435397436,78124.16103891823,32404887171.11936,0.5107266435397436,83094.17695173476,37850313416.20272,0.4285075028829833,"pc1    0.205304
pc2    0.317898
pc3    0.323765
pc4    0.077324
pc5    0.075708
dtype: float32",64547.74088339505,17209073978.86244,0.6143992618309844,80402.28525363997,99257.09883634416,42107729974.95882,69514966875.44495,0.4534618073950618,0.3636492117278559
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=xgbregressor|CV=2|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,10,100,6,42,XGBRegressor,74183.39209479385,84491.26669622299,79337.32939550842,22347797213.16358,48390493132.73193,35369145172.947754,0.3774391176805178,0.445154716671398,0.4112969171759579,94561.31693340265,38464734118.743225,0.4192305170436811,94561.31693340265,38464734118.743225,0.4192305170436811,79333.267336311,39767397871.92653,0.3995619200356609,"pc1     0.107198
pc2     0.224732
pc3     0.260346
pc4     0.146919
pc5     0.041296
pc6     0.020855
pc7     0.026061
pc8     0.033110
pc9     0.034019
pc10    0.105464
dtype: float32",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=xgbregressor|CV=3|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,10,100,6,42,XGBRegressor,78150.89204465487,67115.64008688586,80006.8598413678,29947270659.43709,25338754325.4873,39255867818.83474,0.2881779977127447,0.5332034104190084,0.3719536975861996,73435.0223352327,37472237574.74896,0.4342159762675005,73435.0223352327,37472237574.74896,0.4342159762675005,73435.0223352327,37472237574.74896,0.4342159762675005,"pc1     0.095182
pc2     0.279376
pc3     0.267587
pc4     0.041924
pc5     0.080248
pc6     0.015072
pc7     0.045468
pc8     0.016708
pc9     0.054956
pc10    0.103477
dtype: float32",94754.04739256266,62481578471.57981,0.2944796846268455,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=xgbregressor|CV=5|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,False,10,100,6,42,XGBRegressor,85654.13837682037,55715.53818265698,73982.97248081549,36206525295.28556,11111720549.681326,33752440727.59951,0.1752654494518875,0.6664950985896896,0.4698710876849825,85220.61296060355,39862869035.96876,0.3981204246022888,85220.61296060355,39862869035.96876,0.3981204246022888,85220.61296060355,39862869035.96876,0.3981204246022888,"pc1     0.139149
pc2     0.290949
pc3     0.203792
pc4     0.059042
pc5     0.067641
pc6     0.030856
pc7     0.029691
pc8     0.050777
pc9     0.046190
pc10    0.081914
dtype: float32",61064.78302194793,17227576615.608505,0.6139846764560757,77123.12484241142,90357.27798024072,39833272786.645065,64383108390.77712,0.4829831736999554,0.410627040227304
FS=na|FE=na|OUT=0|NORM=1|PCA=na|ALGORITHM=xgbregressor|CV=2|N_ESTIMATORS=100|MAX_DEPTH=6|RANDOM_STATE=42,,,False,True,0,100,6,42,XGBRegressor,58384.02294255633,78677.30710855425,68530.6650255553,13768198963.473331,43992972722.30945,28880585842.891388,0.6164480099362446,0.4955766756163413,0.556012342776293,68328.55210546264,20811447178.41252,0.6857731193444085,68328.55210546264,20811447178.41252,0.6857731193444085,68328.55210546264,20811447178.41252,0.6857731193444085,"_ano                    0.006814
_mes                    0.020828
car_c02_emitido         0.056225
cli_pressao_atm_med     0.007995
cli_temp_ar_med         0.001856
cli_temp_orvalho_med    0.004534
cli_umid_rel_med        0.034082
cli_umid_rel_min_max    0.005861
cli_umid_rel_min_med    0.005077
cli_umid_rel_min_min    0.107156
cli_veloc_vento_max     0.006557
cli_veloc_vento_med     0.005731
que_focos_qtd           0.083238
_estado_AC              0.002370
_estado_AM              0.000382
_estado_AP              0.000000
_estado_PA              0.000000
_estado_RO              0.000002
_estado_RR              0.014623
_estado_TO              0.636669
dtype: float32",,,,,,,,,
