case,col_rem,feat_eng,outliers,normalization,pca,n_estimators,max_depth,random_state,algorithm,mae_cv_fold_0,mae_cv_fold_1,mae_cv_avg,mse_cv_fold_0,mse_cv_fold_1,mse_cv_avg,r2_cv_fold_0,r2_cv_fold_1,r2_cv_avg,mae_best_model_test_mae,mae_best_model_test_mse,mae_best_model_test_r2,mse_best_model_test_mae,mse_best_model_test_mse,mse_best_model_test_r2,r2_best_model_test_mae,r2_best_model_test_mse,r2_best_model_test_r2,importance,mae_cv_fold_2,mse_cv_fold_2,r2_cv_fold_2,mae_cv_fold_3,mae_cv_fold_4,mse_cv_fold_3,mse_cv_fold_4,r2_cv_fold_3,r2_cv_fold_4
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=xgbregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,0,200,10,42,XGBRegressor,63128.032641483944,80583.38414451548,71855.70839299972,17081871150.388338,45318065616.08051,31199968383.234425,0.5241363310389535,0.4803831635340309,0.5022597472864923,75584.75872396397,28819735612.598137,0.5648579579675175,75584.75872396397,28819735612.598137,0.5648579579675175,75584.75872396397,28819735612.598137,0.5648579579675175,"_ano                    0.006898
_mes                    0.015050
car_c02_emitido         0.043080
cli_pressao_atm_med     0.013170
cli_temp_ar_med         0.002563
cli_temp_orvalho_med    0.003063
cli_umid_rel_med        0.045838
cli_umid_rel_min_max    0.010367
cli_umid_rel_min_med    0.009872
cli_umid_rel_min_min    0.090834
cli_veloc_vento_max     0.004650
cli_veloc_vento_med     0.004208
que_focos_qtd           0.083214
_estado_AC              0.000005
_estado_AM              0.000016
_estado_AP              0.000000
_estado_PA              0.000000
_estado_RO              0.000012
_estado_RR              0.001682
_estado_TO              0.665478
dtype: float32",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=xgbregressor|CV=3|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,0,200,10,42,XGBRegressor,61184.296483715974,69290.67878759697,72686.80630993868,16686418391.814665,29841281405.81255,35360691542.26017,0.6033775536428916,0.45025678018636905,0.4603889956089015,73430.4500049285,31393767665.204502,0.5259932862479555,73430.4500049285,31393767665.204502,0.5259932862479555,73430.4500049285,31393767665.204502,0.5259932862479555,"_ano                    2.875669e-03
_mes                    1.031364e-02
car_c02_emitido         2.530188e-02
cli_pressao_atm_med     1.859379e-03
cli_temp_ar_med         9.453113e-04
cli_temp_orvalho_med    9.927208e-04
cli_umid_rel_med        7.821824e-03
cli_umid_rel_min_max    2.599165e-03
cli_umid_rel_min_med    8.011042e-02
cli_umid_rel_min_min    2.429743e-02
cli_veloc_vento_max     1.023663e-03
cli_veloc_vento_med     1.106283e-03
que_focos_qtd           3.730137e-02
_estado_AC              2.248865e-08
_estado_AM              4.395923e-05
_estado_AP              0.000000e+00
_estado_PA              0.000000e+00
_estado_RO              2.764115e-03
_estado_RR              2.385910e-03
_estado_TO              7.982573e-01
dtype: float32",87585.44365850306,59554374829.153305,0.32753265299744383,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=na|ALGORITHM=xgbregressor|CV=5|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,0,200,10,42,XGBRegressor,60385.05666462119,53418.877388586705,66733.59380632165,16334702756.828512,15549780807.418701,30747809128.75413,0.6279180720431039,0.5332920683216031,0.5340666999865266,76261.94030938992,41912245591.47408,0.3671773961427821,76261.94030938992,41912245591.47408,0.3671773961427821,63474.33088581938,21457110239.8467,0.6760244128748532,"_ano                    0.002249
_mes                    0.010768
car_c02_emitido         0.034963
cli_pressao_atm_med     0.002698
cli_temp_ar_med         0.002018
cli_temp_orvalho_med    0.002139
cli_umid_rel_med        0.013954
cli_umid_rel_min_max    0.001448
cli_umid_rel_min_med    0.003590
cli_umid_rel_min_min    0.055238
cli_veloc_vento_max     0.005053
cli_veloc_vento_med     0.001274
que_focos_qtd           0.044872
_estado_AC              0.000002
_estado_AM              0.000044
_estado_AP              0.000000
_estado_PA              0.000000
_estado_RO              0.001832
_estado_RR              0.002010
_estado_TO              0.815849
dtype: float32",59100.97379563366,17620676648.037254,0.605176552156943,65428.53761308953,95334.52356967708,37089266426.05205,67144619005.43415,0.5185990636495401,0.38534774376144265
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=xgbregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,5,200,10,42,XGBRegressor,79009.54674175984,89019.61613942833,84014.58144059408,28299323884.537315,54618189027.08487,41458756455.8111,0.21164256689134708,0.37374796982323777,0.2926952683572924,92307.32732910739,49582866287.22319,0.2513605962223202,92307.32732910739,49582866287.22319,0.2513605962223202,77647.26933693308,40430661428.5154,0.38954746805388607,"pc1    0.149343
pc2    0.291799
pc3    0.336099
pc4    0.183430
pc5    0.039329
dtype: float32",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=xgbregressor|CV=3|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,5,200,10,42,XGBRegressor,84992.02829530326,74582.44465845077,87663.88474512822,30091316098.970554,29233287249.746765,42694999948.04761,0.28475415604266097,0.4614573938744385,0.32326433297482604,85981.09177042419,44520325383.47612,0.32779864604837383,85981.09177042419,44520325383.47612,0.32779864604837383,85981.09177042419,44520325383.47612,0.32779864604837383,"pc1    0.123854
pc2    0.344811
pc3    0.359448
pc4    0.075197
pc5    0.096691
dtype: float32",103417.18128163068,68760396495.4255,0.22358144900737864,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=5|ALGORITHM=xgbregressor|CV=5|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,5,200,10,42,XGBRegressor,96738.83150064222,62561.00063623423,81568.10561240616,52445322293.15903,16551776910.08442,41870090626.296524,-0.19463187801209503,0.5032183628194764,0.3154743252851948,83032.41788722636,34005115716.284832,0.4865651895201035,83032.41788722636,34005115716.284832,0.4865651895201035,79009.47885908835,30995419762.46491,0.5320078424592793,"pc1    0.190377
pc2    0.374283
pc3    0.346664
pc4    0.064111
pc5    0.024564
dtype: float32",66899.37498765987,20264346363.0322,0.5459403030229553,82428.36760798821,99212.95332950621,46490122862.292145,73598884702.91481,0.39658044405981985,0.32626439453581757
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=xgbregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,10,200,10,42,XGBRegressor,86727.19628002553,88080.87989908113,87404.03808955333,38497124363.63019,52121408531.56798,45309266447.59908,-0.07244590963386832,0.40237604926116655,0.1649650698136491,101322.05321675596,56575429641.138954,0.1457816159788542,101322.05321675596,56575429641.138954,0.1457816159788542,78736.58641640467,39018928999.89249,0.4108628659483039,"pc1     0.088783
pc2     0.221889
pc3     0.275324
pc4     0.139281
pc5     0.046565
pc6     0.021974
pc7     0.027946
pc8     0.045748
pc9     0.018019
pc10    0.114471
dtype: float32",,,,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=xgbregressor|CV=3|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,10,200,10,42,XGBRegressor,77986.72962516327,69240.42692523474,81070.56766464819,27652196631.325718,25733128116.814304,39539718939.8121,0.34273002045518797,0.5259381621575183,0.3773567913594113,75220.2912073802,38271981240.43158,0.42214084495937176,75220.2912073802,38271981240.43158,0.42214084495937176,75220.2912073802,38271981240.43158,0.42214084495937176,"pc1     0.088266
pc2     0.251217
pc3     0.268968
pc4     0.051197
pc5     0.078102
pc6     0.011503
pc7     0.051365
pc8     0.031948
pc9     0.040095
pc10    0.127340
dtype: float32",95984.54644354657,65233832071.29629,0.26340219146552757,,,,,,
FS=na|FE=na|OUT=0|NORM=0|PCA=10|ALGORITHM=xgbregressor|CV=5|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,False,10,200,10,42,XGBRegressor,94052.26661890846,56469.91756190295,77525.96312319461,53817351043.40091,12497032536.915895,39464288092.11521,-0.22588479459111732,0.6249166287515118,0.36321824798203606,88744.26293652502,49895885378.990005,0.24663439857021463,88744.26293652502,49895885378.990005,0.24663439857021463,88744.26293652502,49895885378.990005,0.24663439857021463,"pc1     0.126351
pc2     0.293912
pc3     0.216608
pc4     0.088176
pc5     0.034094
pc6     0.037192
pc7     0.031957
pc8     0.061264
pc9     0.047006
pc10    0.063440
dtype: float32",61554.98481879468,18457297844.26,0.5864305260065772,72208.42634602636,103344.22027034065,36355514762.958435,76194244273.04082,0.5281228092422504,0.3025060705009581
FS=na|FE=na|OUT=0|NORM=1|PCA=na|ALGORITHM=xgbregressor|CV=2|N_ESTIMATORS=200|MAX_DEPTH=10|RANDOM_STATE=42,,,False,True,0,200,10,42,XGBRegressor,63128.032641483944,80583.38414451548,71855.70839299972,17081871150.388338,45318065616.08051,31199968383.234425,0.5241363310389535,0.4803831635340309,0.5022597472864923,75584.75872396397,28819735612.598137,0.5648579579675175,75584.75872396397,28819735612.598137,0.5648579579675175,75584.75872396397,28819735612.598137,0.5648579579675175,"_ano                    0.006898
_mes                    0.015050
car_c02_emitido         0.043080
cli_pressao_atm_med     0.013170
cli_temp_ar_med         0.002563
cli_temp_orvalho_med    0.003063
cli_umid_rel_med        0.045838
cli_umid_rel_min_max    0.010367
cli_umid_rel_min_med    0.009872
cli_umid_rel_min_min    0.090834
cli_veloc_vento_max     0.004650
cli_veloc_vento_med     0.004208
que_focos_qtd           0.083214
_estado_AC              0.000005
_estado_AM              0.000016
_estado_AP              0.000000
_estado_PA              0.000000
_estado_RO              0.000012
_estado_RR              0.001682
_estado_TO              0.665478
dtype: float32",,,,,,,,,
